Nom,Contact,Adresse,Code Postal,Ville,Tel,Adresse perso,Repré,Groupement,SP,,,,Remarque,
librairie la nuit des temps,solveig touzé et alyla XXX,8 quai emile zola,35000,Rennes,,,,,,,,,,
librairie gargan'mots,manon,11 place du vieux marché,35830,betton,,,,,,,,,,
terre des livres,sarah gastel et paco vallat,68 rue de marseille,69007,lyon,,,,,,,,,,
Librairie Lamartine,Gina Stanislas,118 rue de la pompe,75016,Paris,,01 47 27 31 31,,,,,,,,
librairie le mucem,jeremie banel,1 esplanade j4,13002,marseille,,,,,,,,,,
librairie port maria,alex cavalin,1 quai océan,56170,quiberon,,,,,,,,,,
librairie alpha bureau,yann leray,26 avenue de la libération,43120,monistrol sur loire,,,,,,,,,,
librairie dialogues morlaix,géraldine Delauney,9 rue d'aiguillon,29600,morlaix,,,,,,,,,,
rebelles ordinaires,Guillaume bourrain,9 bis rue des trois fuseaux,17000,La rochelle,,,,,,,,,,
la nouvelle librairie guillaume,,98 rue saint pierre,14000,caen,,,,,,,,,,
L'Empreinte Librairie-Galerie ,Florence Quénu,160 rue du général Leclerc,77780,Bourron-marlotte,,,,,,,,,,
decitre,Mathieu Betton,,,grenoble,,adresse perso : 35 rue Jean Macé 38000 Grenoble,,,,,,,,
librairie de l'hôtel de ville ,Letizia Srisina,150 avenue Franklin Roosevelt,69500,bron,,,,,,,,,,
Librairie du centre,Typhaine Marc,10 chemin du mont blanc,,ferney voltaire,,Adresse perso : résidence le cèdre bleu Bâtiment B 34 rue de genêve 01210 ferney voltaire,,,,,,,,
L'IVRESSE DES MOTS,MAELA ILY,4 ROUTE DE SAINT SAUVEUR,29400,LAMPAUL-GUIMILIAU,,,,,,,,,,
librairie wachenheim,Christian Rappolt,6 rue de la poste,67600,sélestat,,adresse perso : 7 rue de hunawihr 67100 strasbourg,,,,,,,,
librairie des marais,bertrand,132 rue de la république,69400,villefranche sur saône,,,,,,,,,,
